[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits
1985468,13742628,152368,36616,615732,364544,595036,100
2527568,13200528,152344,36616,900460,649216,865560,100
3054532,12673564,152356,36616,1156472,905216,1127676,100
3577012,12151084,152360,36616,1420664,1169408,1389728,100
4085288,11642808,152364,36616,1678712,1427456,1643732,100
4624392,11103704,152380,36616,1936760,1685504,1913956,100
5085604,10642492,152436,36616,2063736,1812480,2143408,100
5610396,10117700,152416,36616,2442616,2191360,2405640,100
6149268,9578828,152444,36616,2702712,2451456,2675788,100
6682292,9045804,152388,36616,2977144,2725888,2942092,100
7209116,8518980,152404,36616,3235192,2983936,3204320,100
7758440,7969656,152368,36616,3499384,3248128,3478676,100
8315844,7412252,152368,36616,3788152,3536896,3757188,100
8854948,6873148,152392,36616,4052344,3801088,4027592,100
9383944,6344152,152368,36616,4324728,4073472,4289796,100
9920876,5807220,152404,36616,4603256,4352000,4559960,100
10470340,5257756,152416,36616,4859256,4608000,4830664,100
11038368,4689728,152380,36616,5133688,4882432,5117092,100
11587956,4140140,152408,36616,5416312,5165056,5391560,100
12126952,3601144,152404,36616,5692792,5441536,5661904,100
12672572,3055524,152396,36616,5963128,5711872,5932188,100
13155876,2572220,152436,36616,6201988,5836800,6103832,100
13022384,2705712,152468,36620,6127920,5875712,6103884,100
13022516,2705580,152480,36620,6128044,5875712,6103884,100
13022516,2705580,152444,36620,6128044,5875712,6103884,100
13022532,2705564,152440,36620,6128044,5875712,6103884,100
13022688,2705408,152476,36620,6128044,5875712,6103884,100
13022704,2705392,152488,36620,6128044,5875712,6103892,100
13022704,2705392,152488,36620,6128044,5875712,6103892,100
13022704,2705392,152488,36620,6128044,5875712,6103892,100
13022580,2705516,152484,36620,6128044,5875712,6103892,100
13022596,2705500,152492,36620,6128044,5875712,6103892,100
13022596,2705500,152492,36620,6128044,5875712,6103892,100
13022736,2705360,152496,36620,6128044,5875712,6103892,100
13157212,2570884,152536,36620,6242652,5875712,6103900,100
13969252,1758844,177644,36620,6128164,5875712,7025676,100
14076564,1651532,180516,36620,6128164,5875712,7130136,100
14744812,983284,198344,36620,6128168,5875712,7780856,100
15278548,449548,213136,36620,6128168,5875712,8300376,100
15534052,194044,220052,36620,6128168,5875712,8548756,100
15564196,163900,225328,36620,6128168,5875712,8570064,100
15564360,163736,230452,36620,6128168,5875712,8565856,100
15559292,168804,235244,36620,6128168,5875712,8555704,100
15551836,176260,239444,36620,6128168,5875712,8543924,100
15559308,168788,243240,36620,6128168,5875712,8546416,100
15561488,166608,249624,36620,6128168,5875712,8542524,100
15547284,180812,254324,36620,6128168,5875712,8524712,100
15560304,167792,258556,36620,6128168,5875712,8533512,100
15564244,163852,261996,36620,6128168,5875712,8535408,100
15555136,172960,267528,36620,6128168,5875712,8520092,100
15560940,167156,272208,36620,6128168,5875712,8520300,100
15554972,173124,276876,36620,6128168,5875712,8510048,100
15561288,166808,281764,36620,6128168,5875712,8510664,100
15572648,155448,286740,36620,6128168,5875712,8517096,100
15570108,157988,291592,36620,6128168,5875712,8509876,100
15574644,153452,296592,36620,6128168,5875712,8508732,100
15561880,166216,301408,36620,6128168,5875712,8490320,100
15575968,152128,306232,36620,6128168,5875712,8499628,100
15577984,150112,311124,36620,6128168,5875712,8498976,100
15555000,173096,315168,36620,6134092,5875712,8463544,100
9575168,6152928,315596,36620,352100,77824,8344020,100
10505220,5222876,315680,36616,1119464,868352,7391780,100
13183120,2544976,315552,36616,3826996,3575808,4717136,100
15452996,275100,315408,36620,6149312,5875712,2474872,100
15430204,297892,315536,36620,6128168,5875712,2474876,100
15429800,298296,315460,36620,6128164,5875712,2474872,100
15429672,298424,315344,36620,6128164,5875712,2474872,100
15429352,298744,315004,36620,6128164,5875712,2474880,100
15429352,298744,315004,36620,6128164,5875712,2474880,100
15429344,298752,315004,36620,6128164,5875712,2474880,100
15429344,298752,315004,36620,6128164,5875712,2474880,100
15429568,298528,315228,36620,6128164,5875712,2474880,100
15429616,298480,315324,36620,6128164,5875712,2474884,100
15429504,298592,315200,36620,6128164,5875712,2474900,100
15429632,298464,315320,36620,6128164,5875712,2474900,100
15429664,298432,315332,36620,6128164,5875712,2474900,100
15429520,298576,315212,36620,6128164,5875712,2474900,100
15431652,296444,315144,36620,6130804,5875712,2474908,100
15552704,175392,342496,36620,6127920,5875712,3864016,100
15557784,170312,366844,36620,6128044,5875712,4327644,100
15559584,168512,372448,35808,6128044,5875712,4326588,100
15564400,163696,374616,33428,6128044,5875712,4331464,100
15562728,165368,376096,33428,6128044,5875712,4330272,100
15566160,161936,377004,33428,6128044,5875712,4333472,100
15560616,167480,378096,33428,6128044,5875712,4327576,100
15557972,170124,379232,33428,6128044,5875712,4323860,100
15556432,171664,380460,33428,6128044,5875712,4322916,100
15576784,151312,382188,33428,6128044,5875712,4342468,100
15552540,175556,382916,33428,6128044,5875712,4317840,100
15547092,181004,383396,33428,6128044,5875712,4312304,100
15560392,167704,384024,32972,6128044,5875712,4325436,100
15571068,157028,384692,32972,6128044,5875712,4335960,100
15567756,160340,384980,32972,6128044,5875712,4332140,100
15561840,166256,385584,32972,6128044,5875712,4325452,100
15559536,168560,385664,32972,6128044,5875712,4324132,100
15558288,169808,385896,32972,6128044,5875712,4323256,100
15579592,148504,386836,32972,6128044,5875712,4342272,100
15555700,172396,386136,32972,6128044,5875712,4319648,100
15552404,175692,386716,32972,6128044,5875712,4315936,100
15546728,181368,387020,32972,6128044,5875712,4309520,100
15564416,163680,387708,32972,6128044,5875712,4326228,100
15551548,176548,387604,32972,6128044,5875712,4313824,100
15573292,154804,389028,32972,6128044,5875712,4334412,100
15557208,170888,388124,32972,6135052,5875712,4308880,100
9575020,6153076,385576,32972,328816,77824,4263192,100
9584444,6143652,385488,32968,259348,8192,4263196,100
9602260,6125836,385492,32968,271592,20480,4263192,100
9622540,6105556,385420,32968,271592,20480,4263192,100
9861296,5866800,385400,32968,333032,81920,4263196,100
10172804,5555292,385400,32968,474344,223232,4263200,100
10511180,5216916,385420,32968,636136,385024,4263200,100
10826416,4901680,385420,32968,797928,546816,4263200,100
10892512,4835584,385524,32968,914664,663552,4263204,100
10902780,4825316,385552,32968,920808,669696,4263212,100
10917292,4810804,385500,32968,926952,675840,4263212,100
10943564,4784532,385528,32968,935144,684032,4263204,100
10951772,4776324,385596,32968,941288,690176,4263204,100
10976272,4751824,385644,32968,949480,698368,4263204,100
10992648,4735448,385640,32968,963816,712704,4263204,100
11023636,4704460,385776,32968,980200,729088,4263212,100
11060624,4667472,385820,32968,990440,739328,4263220,100
11074888,4653208,385732,32968,1006824,755712,4263220,100
11107384,4620712,385584,32968,1012968,761856,4263220,100
11312108,4415988,385240,32968,1072360,821248,4263236,100
11615436,4112660,385240,32968,1203432,952320,4263236,100
11888060,3840036,385224,32968,1352936,1101824,4263236,100
12156588,3571508,385240,32968,1479912,1228800,4263236,100
12408864,3319232,385252,32968,1613032,1361920,4263236,100
12679316,3048780,385252,32968,1733864,1482752,4263236,100
12884388,2843708,385220,32968,1846504,1595392,4263236,100
13132572,2595524,385240,32968,1971432,1720320,4263236,100
13877752,1850344,385232,32968,2663656,2412544,3740056,100
15577680,150416,383420,32968,4373592,4118528,2281604,100
15566344,161752,376712,32968,4480208,4208640,2890716,100
15561312,166784,371044,32968,4635728,4292608,3208164,100
15570208,157888,364400,32968,4767364,4327424,3489696,100
15568700,159396,357400,32968,4918588,4368384,3716684,100
15565756,162340,350348,32968,5071524,4405248,3883140,100
15558284,169812,343268,32968,5209996,4425728,4013432,100
15561116,166980,336692,32968,5299436,4452352,4111508,100
15556108,171988,330100,32968,5428372,4562944,4182616,100
15555808,172288,324152,32968,5538968,4667392,4233132,100
15567616,160480,317160,32968,5741504,4755456,4276032,100
15560684,167412,309972,32968,5880484,4755456,4306796,100
15560360,167736,303868,32968,6007760,4755456,4322800,100
15552140,175956,298136,32968,6121152,4755456,4329912,100
15420016,308080,294292,32972,6129276,4755456,4290160,100
15418804,309292,294292,32912,6127976,4755456,4290152,100
15418580,309516,294212,32972,6127924,4755456,4290196,100
15418596,309500,294152,32972,6128048,4755456,4290204,100
15418596,309500,294168,32972,6128048,4755456,4290204,100
15418596,309500,294168,32972,6128048,4755456,4290204,100
15418596,309500,294176,32972,6128048,4755456,4290204,100
15418596,309500,294152,32972,6128048,4755456,4290208,100
15418596,309500,294184,32972,6128048,4755456,4290212,100
15418596,309500,294184,32972,6128048,4755456,4290212,100
15418596,309500,294188,32972,6128048,4755456,4290212,100
15418596,309500,294168,32972,6128048,4755456,4290212,100
15418596,309500,294172,32972,6128048,4755456,4290212,100
15435304,292792,294100,32972,6144784,4755456,4290216,100
15577836,150260,298728,32972,6127876,4755456,4445196,100
15583660,144436,301176,32972,6128168,4755456,4449012,100
15557768,170328,301612,32972,6128168,4755456,4422836,100
15568472,159624,303004,32752,6128168,4755456,4433032,100
15563696,164400,304124,32804,6128168,4755456,4427160,100
15557908,170188,308008,32148,6128168,4755456,4415704,100
15571692,156404,312788,32148,6128168,4755456,4424836,100
15575600,152496,317304,32148,6128168,4755456,4425620,100
15549860,178236,321736,32148,6128168,4755456,4394360,100
15573916,154180,326268,32148,6128168,4755456,4414688,100
15561644,166452,330464,32148,6128168,4755456,4397948,100
15546236,181860,335024,32148,6128168,4755456,4378808,100
15552648,175448,338476,32148,6128168,4755456,4382060,100
15564144,163952,343192,32148,6128168,4755456,4387788,100
15563152,164944,347676,32148,6128168,4755456,4381416,100
15554660,173436,351668,32148,6128168,4755456,4370324,100
15570964,157132,352212,32148,6128168,4755456,4384980,100
15558132,169964,352084,32148,6128168,4755456,4372056,100
15556748,171348,352392,32148,6128168,4755456,4370296,100
15558740,169356,352680,32148,6128168,4755456,4372496,100
15569072,159024,353312,32148,6128168,4755456,4383032,100
15578260,149836,353624,32148,6128168,4755456,4390632,100
15573176,154920,354188,32148,6128168,4755456,4385424,100
15554796,173300,353804,32148,6128168,4755456,4368260,100
15560468,167628,354360,32148,6128168,4755456,4373340,100
15558032,170064,354404,32148,6128172,4755456,4370424,100
15561064,167032,355032,32148,6128172,4755456,4372680,100
15548232,179864,355168,32148,6128172,4755456,4359236,100
15551612,176484,355064,32184,6139932,4755456,4346380,100
9598912,6129184,353140,32136,258796,8192,4293064,100