[DSK:vdb]Reads,[DSK:vdb]RMerge,[DSK:vdb]RKBytes,[DSK:vdb]WaitR,[DSK:vdb]Writes,[DSK:vdb]WMerge,[DSK:vdb]WKBytes,[DSK:vdb]WaitW,[DSK:vdb]Request,[DSK:vdb]QueLen,[DSK:vdb]Wait,[DSK:vdb]SvcTim,[DSK:vdb]Util
560,0,254486,21,0,0,0,0,455,12,21,2,98
594,0,270336,20,0,0,0,0,455,12,20,2,98
578,0,263152,20,0,0,0,0,455,12,20,2,98
572,0,260128,21,0,0,0,0,455,12,21,2,98
560,0,254960,20,20,127,588,24,441,12,20,2,98
592,0,269328,20,2,1,12,26,453,12,20,2,99
506,0,230384,22,0,0,0,0,455,12,22,2,98
585,0,266240,20,0,0,0,0,455,12,20,2,99
592,0,269186,19,0,0,0,0,455,12,19,2,97
586,0,266858,20,0,0,0,0,455,12,20,2,99
574,0,261576,20,2,1,12,30,454,12,20,2,97
604,0,274496,19,0,0,0,0,454,12,19,2,98
604,0,274936,18,0,0,0,0,455,11,18,2,98
591,0,268824,19,0,0,0,0,455,12,19,2,98
583,0,265672,20,0,0,0,0,456,12,20,2,99
588,0,267312,21,3,1,16,25,452,12,21,2,98
602,0,273928,19,0,0,0,0,455,11,19,2,99
624,0,284136,19,0,0,0,0,455,12,19,2,99
603,0,274432,20,0,0,0,0,455,12,20,2,99
600,0,273254,19,0,0,0,0,455,12,19,2,99
593,0,269911,19,3,1,16,25,453,12,19,2,98
382,0,173573,19,0,0,0,0,454,11,19,2,63
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,4,0,4,0,0,0,0
0,0,0,0,2,1,12,4,6,1,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,4,0,4,0,0,0,0
0,0,0,0,2,1,12,6,6,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,85,0,39016,72,461,125,72,2,19
1,0,4,862,253,0,122120,490,481,110,491,4,100
1,0,4,506,308,2,148918,594,482,128,594,3,100
2,0,8,331,301,14,143944,571,475,121,569,3,100
1,0,4,223,299,0,144256,733,481,128,731,3,100
1,0,4,110,339,0,162266,784,477,128,782,3,100
1,0,4,184,288,0,138863,863,480,128,860,3,100
1,0,4,31,330,0,159786,709,482,128,707,3,100
1,0,4,23,305,0,146534,853,479,128,850,3,100
2,0,8,196,330,0,158044,786,477,130,782,3,100
2,0,8,162,381,0,182496,682,477,128,679,3,100
1,0,4,465,320,0,153601,705,479,120,704,3,100
1,0,4,84,287,0,137241,654,477,128,652,3,100
1,0,4,29,363,0,174120,762,478,128,760,3,100
2,0,8,218,335,0,160816,534,477,128,532,3,100
1,0,4,17,385,0,184415,577,478,128,576,3,100
2,0,8,46,381,0,182142,861,475,128,857,3,100
1,0,4,69,373,1,179012,676,479,128,675,3,100
1,0,4,109,374,3,178076,669,476,128,668,3,100
2,0,8,18,352,1,167173,766,472,128,762,3,100
1,0,4,53,372,1,179249,653,480,128,651,3,100
2,0,8,262,380,2,182669,667,478,128,665,3,100
2,0,8,72,348,1,168273,638,480,128,635,3,100
1,0,4,112,359,1,171743,622,477,128,621,3,100
1,0,4,22,373,0,179774,724,481,128,723,3,100
4,0,64,43,349,2,167876,684,476,128,677,3,102
1,0,4,139,315,24,151765,748,481,128,746,3,104
1,0,4,22,321,0,154238,808,480,128,805,3,100
1,0,4,217,307,0,146933,826,477,128,824,3,102
1,0,4,49,315,0,151417,784,480,130,782,3,100
2,0,8,26,333,0,159812,744,477,128,740,3,100
0,0,0,0,378,0,181992,796,481,121,796,3,100
0,0,0,0,49,26,21296,666,435,26,666,3,16
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,8,126,150,0,71840,178,473,125,177,3,49
0,0,0,0,330,0,159176,721,482,128,721,3,100
3,0,12,265,292,6,140972,499,479,120,496,3,100
1,0,4,40,369,1,176615,803,477,128,801,3,100
1,0,4,367,281,9,135064,754,479,128,752,4,100
0,0,0,0,222,0,106796,751,481,81,751,3,59
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,59,133,53,55073,96,412,110,96,3,40
1,0,4,338,267,0,128468,661,480,129,660,4,100
1,0,4,430,305,0,146028,832,477,128,830,3,100
2,0,8,438,304,0,146116,633,478,128,632,4,110
1,0,4,18,352,0,170335,572,483,128,570,3,100
1,0,4,284,337,2,159907,636,473,128,635,3,100
1,0,4,58,351,14,166913,923,474,128,920,3,100
1,0,4,331,281,0,135134,702,479,128,701,4,100
1,0,4,274,339,0,162555,853,478,129,852,3,100
3,0,12,121,304,0,144703,751,471,128,744,3,100
1,0,4,99,318,0,152299,723,477,129,721,3,100
1,0,4,14,317,0,151371,765,476,128,763,3,100
2,0,8,30,363,0,175684,747,481,128,743,3,100
1,0,4,21,408,0,193276,661,473,128,660,2,100
1,0,4,59,333,0,159308,697,477,128,695,3,100
2,0,8,27,348,0,166298,759,475,128,754,3,100
1,0,4,87,304,0,146969,730,481,128,728,3,100
1,0,4,174,330,0,157581,839,476,128,837,3,100
1,0,4,296,272,0,131628,868,483,129,866,4,100
1,0,4,55,333,0,157870,765,473,127,763,3,100
1,0,4,13,353,7,170486,675,482,128,673,3,100
1,0,4,26,357,1,170928,730,477,128,728,3,100
3,0,12,252,365,6,174464,488,474,112,486,3,100
0,0,0,0,274,0,132715,777,485,126,777,4,100
2,0,8,426,251,4,119806,671,474,127,669,4,100
3,0,12,154,296,3,142968,771,478,128,765,3,100
4,0,65,45,307,25,145559,623,469,128,615,3,100
4,0,513,42,320,1,154365,855,478,128,845,3,100
33,0,14951,54,290,1,139457,844,477,128,763,3,100
19,0,8196,281,261,0,125344,736,477,110,705,4,100
269,0,122376,47,58,18,26176,2842,454,21,543,3,99
333,0,151686,31,0,0,0,0,456,11,31,3,99
376,0,171460,29,0,0,0,0,456,11,29,3,100
357,0,161888,31,0,0,0,0,453,11,31,3,99
58,0,25652,78,167,1,78712,488,464,113,382,4,99
24,0,11156,686,296,1,142664,698,481,128,697,3,100
20,0,8260,464,173,0,83432,799,475,128,764,5,100
23,0,9772,414,362,2,174364,857,478,128,830,3,100
15,0,6620,434,224,3,107532,864,478,128,837,4,100
20,0,8700,372,227,1,109680,956,479,128,908,4,100
25,0,10780,415,282,0,135608,1023,477,128,973,3,100
37,0,16328,289,257,1,123384,583,475,119,546,3,100
32,0,13868,403,253,0,121368,706,475,128,672,4,100
26,0,11784,336,243,1,116364,817,476,128,771,4,100
29,0,13236,377,305,8,145812,1175,476,143,1106,3,100
229,0,103976,47,46,15,20528,853,453,18,182,4,100
331,0,150544,35,0,0,0,0,455,12,35,3,99
301,0,136659,39,0,0,0,0,455,12,39,3,99
291,0,132584,38,0,0,0,0,456,11,38,3,100
270,0,122991,41,0,0,0,0,455,11,41,4,99
302,0,137550,36,0,0,0,0,456,11,36,3,100
224,0,101799,48,2,1,12,44,451,11,48,4,99
274,0,124474,43,0,0,0,0,455,12,43,4,100
246,1,112109,35,0,0,0,0,456,11,35,3,80
69,0,32112,36,0,0,0,0,465,9,36,5,35
312,0,142288,35,0,0,0,0,456,11,35,3,99
245,0,111160,49,0,0,0,0,454,12,49,4,98
294,0,134064,35,2,1,12,32,453,11,35,3,98
315,0,143430,34,0,0,0,0,455,11,34,3,99
297,0,134856,36,0,0,0,0,454,11,36,3,99
316,0,144308,34,0,0,0,0,456,11,34,3,99
305,0,138320,33,0,0,0,0,454,10,33,3,100
280,0,127920,39,0,0,0,0,457,11,39,4,99
267,0,121368,41,2,1,12,73,451,11,41,4,100
310,0,140840,36,9,36,180,6,442,11,35,3,99
306,0,139264,36,0,0,0,0,455,11,36,3,100
273,0,124392,41,0,0,0,0,456,11,41,4,99
254,0,116640,41,0,0,0,0,459,11,41,4,98
10,0,3300,60,0,0,0,0,334,3,60,7,7
0,0,0,0,4,1,20,2,5,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,4,36,2,9,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,2,16,10,8,1,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,8,179,187,0,87755,235,465,126,234,4,76
0,0,0,0,276,0,133490,807,483,128,807,4,100
2,0,8,222,333,0,158913,725,474,128,722,3,100
1,0,4,274,315,0,151292,955,479,128,953,3,100
1,0,4,113,262,2,125408,746,477,128,744,4,100
1,0,4,205,270,0,130763,791,483,128,789,4,100
1,0,4,249,302,0,143899,1051,476,128,1048,3,100
1,0,4,272,327,3,157180,704,479,128,703,3,100
1,0,4,88,293,0,142451,799,484,128,796,3,100
1,0,4,177,278,1,133688,971,479,128,968,4,100
2,0,8,208,282,13,134435,687,474,129,683,4,100
1,0,4,217,278,0,134069,981,480,128,978,4,100
2,0,8,156,338,0,162771,731,479,128,727,3,100
1,0,4,232,345,0,164888,796,476,128,795,3,100
1,0,4,171,276,0,133116,798,480,128,796,4,103
1,0,4,43,269,0,129952,918,481,128,915,4,100
1,0,4,138,302,0,144842,911,477,128,908,3,100
1,0,4,128,247,0,118255,850,477,128,847,4,100
0,0,0,0,222,0,106976,969,481,128,969,4,100
2,0,8,408,265,0,127814,974,478,128,970,4,100
0,0,0,0,303,0,144470,858,476,128,858,3,100
2,0,8,333,268,0,128838,891,477,127,887,4,100
0,0,0,0,266,0,127672,855,480,128,855,4,100
2,0,8,218,265,0,126852,915,475,128,910,4,100
0,0,0,0,198,0,94522,757,478,128,757,5,100
3,0,12,142,351,0,166402,870,471,128,864,3,100
1,0,4,33,413,0,198231,662,479,128,661,2,100
2,0,52,128,226,0,106384,1098,467,128,1089,4,100
2,0,8,138,277,37,131352,843,471,128,838,4,100